timestamp,kWh
2019-02-27 00:00:00,-2.4337564
2019-02-27 01:00:00,-2.91953
2019-02-27 02:00:00,5.74332
2019-02-27 03:00:00,-0.85530573
2019-02-27 04:00:00,2.3286233
2019-02-27 05:00:00,-7.9788713
2019-02-27 06:00:00,0.79769987
2019-02-27 07:00:00,-0.55408585
2019-02-27 08:00:00,5.4306207
2019-02-27 09:00:00,-2.5715387
2019-02-27 10:00:00,8.8865185
2019-02-27 11:00:00,0.42390633
2019-02-27 12:00:00,1.417222
2019-02-27 13:00:00,5.0350633
2019-02-27 14:00:00,-4.0215235
2019-02-27 15:00:00,5.505326
2019-02-27 16:00:00,3.176488
2019-02-27 17:00:00,-5.695062
2019-02-27 18:00:00,1.9274148
2019-02-27 19:00:00,6.358811
2019-02-27 20:00:00,0.0456017
2019-02-27 21:00:00,2.2948453
2019-02-27 22:00:00,5.4936023
2019-02-27 23:00:00,11.33162
2019-02-28 00:00:00,2.4476893
2019-02-28 01:00:00,-4.402486
2019-02-28 02:00:00,5.6812935
2019-02-28 03:00:00,-10.488669
2019-02-28 04:00:00,-0.16817021
2019-02-28 05:00:00,-1.8723425
2019-02-28 06:00:00,-4.955967
2019-02-28 07:00:00,-0.066383295
2019-02-28 08:00:00,2.654818
2019-02-28 09:00:00,-2.2670043
2019-02-28 10:00:00,1.7429699
2019-02-28 11:00:00,-2.0646122
2019-02-28 12:00:00,0.7770339
2019-02-28 13:00:00,-12.406383
2019-02-28 14:00:00,5.397237
2019-02-28 15:00:00,4.5263753
2019-02-28 16:00:00,1.5045185
2019-02-28 17:00:00,2.5195925
2019-02-28 18:00:00,-1.8372124
2019-02-28 19:00:00,-2.6978378
2019-02-28 20:00:00,3.6824841
2019-02-28 21:00:00,-5.298148
2019-02-28 22:00:00,-1.0997258
2019-02-28 23:00:00,-6.9642243
2019-03-01 00:00:00,0.38374248
2019-03-01 01:00:00,5.4160213
2019-03-01 02:00:00,4.113081
2019-03-01 03:00:00,4.6389036
2019-03-01 04:00:00,4.6809587
2019-03-01 05:00:00,0.29145718
2019-03-01 06:00:00,5.6954894
2019-03-01 07:00:00,-5.2608013
2019-03-01 08:00:00,7.3560586
2019-03-01 09:00:00,7.8115892
2019-03-01 10:00:00,11.7020235
2019-03-01 11:00:00,3.1500573
2019-03-01 12:00:00,17.791737
2019-03-01 13:00:00,-4.9948735
2019-03-01 14:00:00,0.11711792
2019-03-01 15:00:00,-0.9463852
2019-03-01 16:00:00,3.161028
2019-03-01 17:00:00,3.5332205
2019-03-01 18:00:00,1.1361321
2019-03-01 19:00:00,-0.05165952
2019-03-01 20:00:00,0.6661172
2019-03-01 21:00:00,-8.0421
2019-03-01 22:00:00,-5.339517
2019-03-01 23:00:00,3.2317264
2019-03-02 00:00:00,-0.68267894
2019-03-02 01:00:00,2.445811
2019-03-02 02:00:00,-7.4445252
2019-03-02 03:00:00,4.254775
2019-03-02 04:00:00,7.3957543
2019-03-02 05:00:00,1.5971999
2019-03-02 06:00:00,-4.5009246
2019-03-02 07:00:00,-3.3061404
2019-03-02 08:00:00,-0.8366197
2019-03-02 09:00:00,-0.09583029
2019-03-02 10:00:00,1.5960125
2019-03-02 11:00:00,-1.8904492
2019-03-02 12:00:00,-3.125276
2019-03-02 13:00:00,0.4183272
2019-03-02 14:00:00,-5.2984385
2019-03-02 15:00:00,-11.454156
2019-03-02 16:00:00,-0.35076725
2019-03-02 17:00:00,-3.319648
2019-03-02 18:00:00,-5.5110755
2019-03-02 19:00:00,-1.8295572
2019-03-02 20:00:00,-1.2032135
2019-03-02 21:00:00,-4.544359
2019-03-02 22:00:00,4.178406
2019-03-02 23:00:00,0.16644083
2019-03-03 00:00:00,-0.21119815
2019-03-03 01:00:00,2.404214
2019-03-03 02:00:00,2.8431776
2019-03-03 03:00:00,-10.926777
2019-03-03 04:00:00,-0.374932
2019-03-03 05:00:00,7.2896466
2019-03-03 06:00:00,3.8400261
2019-03-03 07:00:00,4.0098767
2019-03-03 08:00:00,-1.4634168
2019-03-03 09:00:00,-5.133389
2019-03-03 10:00:00,8.338982
2019-03-03 11:00:00,-5.5096173
2019-03-03 12:00:00,-4.274202
2019-03-03 13:00:00,2.922415
2019-03-03 14:00:00,-6.0577617
2019-03-03 15:00:00,-6.267897
2019-03-03 16:00:00,-4.3304386
2019-03-03 17:00:00,4.293788
2019-03-03 18:00:00,0.60992885
2019-03-03 19:00:00,5.9060006
2019-03-03 20:00:00,-2.64563
2019-03-03 21:00:00,-5.254072
2019-03-03 22:00:00,-5.683241
2019-03-03 23:00:00,2.47041
2019-03-04 00:00:00,-5.3435407
2019-03-04 01:00:00,9.906606
2019-03-04 02:00:00,0.92741615
2019-03-04 03:00:00,19.366583
2019-03-04 04:00:00,11.967207
2019-03-04 05:00:00,9.569937
2019-03-04 06:00:00,2.815377
