timestamp,kWh
2019-02-27 00:00:00,-3.3635228
2019-02-27 01:00:00,-3.2902725
2019-02-27 02:00:00,-0.5895539
2019-02-27 03:00:00,1.2548014
2019-02-27 04:00:00,1.7137582
2019-02-27 05:00:00,-0.8547083
2019-02-27 06:00:00,0.3385318
2019-02-27 07:00:00,3.3439283
2019-02-27 08:00:00,-0.39367494
2019-02-27 09:00:00,1.5435394
2019-02-27 10:00:00,3.1992698
2019-02-27 11:00:00,3.5550873
2019-02-27 12:00:00,3.3209484
2019-02-27 13:00:00,6.7954254
2019-02-27 14:00:00,4.7108693
2019-02-27 15:00:00,1.5303082
2019-02-27 16:00:00,1.5106995
2019-02-27 17:00:00,0.8303554
2019-02-27 18:00:00,0.77605206
2019-02-27 19:00:00,1.3009211
2019-02-27 20:00:00,-3.4272645
2019-02-27 21:00:00,1.5797379
2019-02-27 22:00:00,0.4190753
2019-02-27 23:00:00,2.1734693
2019-02-28 00:00:00,0.97306144
2019-02-28 01:00:00,0.7086638
2019-02-28 02:00:00,1.5188055
2019-02-28 03:00:00,1.1955645
2019-02-28 04:00:00,-0.29576588
2019-02-28 05:00:00,1.7383926
2019-02-28 06:00:00,1.7908864
2019-02-28 07:00:00,-1.0736172
2019-02-28 08:00:00,-0.608142
2019-02-28 09:00:00,3.978257
2019-02-28 10:00:00,3.600825
2019-02-28 11:00:00,6.949986
2019-02-28 12:00:00,6.3648424
2019-02-28 13:00:00,5.413505
2019-02-28 14:00:00,3.9240444
2019-02-28 15:00:00,1.6457767
2019-02-28 16:00:00,3.3021147
2019-02-28 17:00:00,1.5715783
2019-02-28 18:00:00,1.868781
2019-02-28 19:00:00,0.21061862
2019-02-28 20:00:00,-0.6565282
2019-02-28 21:00:00,1.6789209
2019-02-28 22:00:00,-0.99028724
2019-02-28 23:00:00,-0.23893365
2019-03-01 00:00:00,1.675026
2019-03-01 01:00:00,-1.3830702
2019-03-01 02:00:00,2.585517
2019-03-01 03:00:00,-0.048291788
2019-03-01 04:00:00,1.1736467
2019-03-01 05:00:00,1.3559698
2019-03-01 06:00:00,1.6178004
2019-03-01 07:00:00,2.2661116
2019-03-01 08:00:00,3.3134081
2019-03-01 09:00:00,2.103582
2019-03-01 10:00:00,2.3069475
2019-03-01 11:00:00,2.095455
2019-03-01 12:00:00,4.2444954
2019-03-01 13:00:00,2.4177194
